Release date: May 2018,,,,,,,,,,,,,
"Table CE3.4  Annual household site end-use consumption in the South—totals and averages, 2015",,,,,,,,,,,,,
,Number of housing units (million),"Total site energy consumption1
(trillion Btu)",,,,,,"Average site energy consumption1
(million Btu per household using the end use)",,,,,
,Total South2,Total,Space heating3,Water heating,Air condi-tioning,Refrig-erators,Other4,Total,Space heating3,Water heating,Air condi-tioning,Refrig-erators,Other4
All homes, 44.4 ," 3,064 ", 949 , 562 , 479 , 117 , 957 , 68.9 , 22.7 , 12.7 , 11.3 , 2.7 , 21.5 
Census division,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
South Atlantic, 23.5 ," 1,584 ", 497 , 294 , 238 , 61 , 494 , 67.5 , 23.2 , 12.5 , 10.7 , 2.6 , 21.1 
East South Central, 7.2 , 498 , 168 , 96 , 61 , 18 , 156 , 69.2 , 23.6 , 13.3 , 9.0 , 2.5 , 21.7 
West South Central, 13.8 , 981 , 284 , 173 , 179 , 38 , 307 , 71.3 , 21.6 , 12.5 , 13.7 , 2.8 , 22.3 
Census urban/rural classification5,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Urban, 33.4 ," 2,267 ", 689 , 420 , 370 , 85 , 702 , 67.8 , 22.1 , 12.6 , 11.7 , 2.6 , 21.0 
Urbanized area, 28.1 ," 1,930 ", 569 , 357 , 326 , 73 , 605 , 68.8 , 22.0 , 12.7 , 12.2 , 2.6 , 21.6 
Urban cluster, 5.4 , 336 , 121 , 63 , 44 , 12 , 97 , 62.9 , 22.7 , 11.7 , 8.9 , 2.4 , 18.1 
Rural, 11.0 , 797 , 260 , 142 , 109 , 31 , 255 , 72.3 , 24.5 , 12.9 , 10.4 , 2.9 , 23.1 
Metropolitan or micropolitan statistical area,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
In metropolitan statistical area, 34.7 ," 2,391 ", 711 , 438 , 395 , 93 , 755 , 68.9 , 22.0 , 12.6 , 12.0 , 2.7 , 21.7 
In micropolitan statistical area, 6.3 , 432 , 164 , 79 , 48 , 15 , 127 , 68.6 , 26.1 , 12.5 , 8.0 , 2.5 , 20.2 
Not in metropolitan or micropolitan statistical area, 3.4 , 240 , 75 , 45 , 36 , 9 , 76 , 69.9 , 23.1 , 13.2 , 10.8 , 2.6 , 22.0 
Climate region6,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Very cold/Cold, Q , Q , Q , Q , Q , Q , Q , 92.0 , 42.9 , 16.3 , 3.8 , 2.3 , 26.6 
Mixed-humid, 21.3 ," 1,636 ", 641 , 304 , 155 , 55 , 481 , 77.0 , 30.5 , 14.3 , 7.7 , 2.6 , 22.6 
Mixed-dry/Hot-dry, N , N , N , N , N , N , N , N , N , N , N , N , N 
Hot-humid, 22.4 ," 1,352 ", 273 , 245 , 321 , 59 , 454 , 60.5 , 13.7 , 10.9 , 15.1 , 2.7 , 20.3 
Marine, N , N , N , N , N , N , N , N , N , N , N , N , N 
Housing unit type,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Single-family detached, 28.7 ," 2,373 ", 785 , 389 , 385 , 87 , 727 , 82.7 , 28.5 , 13.6 , 14.1 , 3.1 , 25.3 
Single-family attached, 2.3 , 129 , 42 , 27 , 19 , 5 , 36 , 56.5 , 19.7 , 11.6 , 8.6 , 2.3 , 15.9 
Apartments in buildings with 2–4 units, 2.4 , 101 , 26 , 25 , 13 , 4 , 33 , 42.1 , 12.4 , 10.5 , 6.0 , 1.7 , 13.6 
Apartments in buildings with 5 or more units, 7.2 , 244 , 42 , 72 , 32 , 12 , 86 , 34.0 , 6.7 , 10.0 , 4.6 , 1.7 , 12.0 
Mobile homes, 3.9 , 216 , 53 , 49 , 30 , 9 , 75 , 55.6 , 14.9 , 12.7 , 8.4 , 2.2 , 19.3 
Ownership of housing unit,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Owned, 28.5 ," 2,295 ", 748 , 378 , 369 , 86 , 713 , 80.6 , 27.7 , 13.3 , 13.5 , 3.0 , 25.1 
Single-family, 24.8 ," 2,099 ", 705 , 336 , 339 , 77 , 641 , 84.8 , 29.6 , 13.6 , 14.2 , 3.1 , 25.9 
Apartments, 0.8 , 33 , 5 , 7 , 6 , 2 , 14 , 39.4 , 8.2 , 8.2 , 7.0 , 2.3 , 16.3 
Mobile homes, 2.9 , 163 , 38 , 35 , 24 , 7 , 58 , 56.5 , 14.9 , 12.2 , 8.7 , 2.3 , 20.2 
Rented7, 16.0 , 769 , 201 , 184 , 109 , 31 , 244 , 48.1 , 13.6 , 11.5 , 7.4 , 2.0 , 15.3 
Single-family, 6.2 , 403 , 122 , 79 , 64 , 15 , 122 , 64.8 , 20.9 , 12.8 , 11.2 , 2.4 , 19.6 
